ID,CONTINENT,min_lon,min_lat
409761,2,-59.15891236180475,47.6719751607116
409803,2,-59.02039214499352,47.66254285022834
409811,2,-59.00422246987938,47.74204375287292
409813,2,-58.99505965398136,47.756596460475656
409815,2,-58.991556224373284,48.55160548692143
409822,2,-58.962989798338285,47.702697543428485
409857,2,-58.868666693505745,47.84849411404108
409869,2,-58.81261181977668,48.18293689431878
409887,2,-58.777038534525545,47.74150476370245
409894,2,-58.769492686138946,47.89942859065066
409896,2,-58.76491127818993,47.969227688226745
409914,2,-58.73041597127974,47.88945729099693
409974,2,-58.657652433266065,47.929611984197074
409979,2,-58.64902860653852,47.64933761555179
409995,2,-58.63043348015724,47.94362570262934
410028,2,-58.58488889525238,47.85199754364915
410038,2,-58.57788203603626,48.09400368119095
410055,2,-58.55497499629121,47.79863761577245
410077,2,-58.526678064841434,47.975426063687166
410079,2,-58.53745784825087,47.97892949329524
410090,2,-58.51104737889776,47.78893581070396
410098,2,-58.49757264963597,48.55699537862615
410114,2,-58.47870802866946,47.71536378893457
410124,2,-58.4655027939929,47.954944475209246
410145,2,-58.43424142210554,49.061489242187676
410175,2,-58.39866813685441,48.31795368152194
410184,2,-58.39381723432017,48.55726487321138
410230,2,-58.34611669273342,48.033636894098116
410240,2,-58.33371994181256,48.31633671401053
410248,2,-58.32967752303402,48.01908418649538
410268,2,-58.306500988703746,48.00318400596646
410350,2,-58.22053221601351,48.279685450418455
410360,2,-58.21460333513832,48.4093123459169
410364,2,-58.2092134434336,48.06301180388883
410373,2,-58.201937089632224,48.48908274314671
410386,2,-58.19331326290468,47.837444836046416
410406,2,-58.1768740932053,47.70539248928084
410431,2,-58.158548461409254,48.21231180410949
410437,2,-58.15720098848308,47.8261260634665
410441,2,-58.15369755887501,48.06597624432642
410451,2,-58.14399575380652,49.389464152419706
410452,2,-58.14022282961322,49.38461324988546
410496,2,-58.105458028117795,48.45836036042982
410599,2,-58.004936547824826,49.36062823179947
410635,2,-57.972597197596514,47.93688833799844
410646,2,-57.96343438169849,48.54379014394959
410653,2,-57.961008930431376,48.864488700380264
410711,2,-57.91627282928222,48.87850241881252
410739,2,-57.896599724560005,48.725698988983794
410752,2,-57.88662842490628,48.03929628038807
410766,2,-57.877465609008254,48.74968400706979
410781,2,-57.86560784725788,49.800712889489624
410782,2,-57.86479936350217,48.34032173209652
410807,2,-57.84782120463231,48.070827146860665
410853,2,-57.822758208205386,48.09400368119095
410869,2,-57.81602084357448,48.30097552265208
410880,2,-57.80901398435836,49.230462347130555
410888,2,-57.801468135971746,49.38272678778881
410922,2,-57.778830590811936,48.12257010722595
410955,2,-57.7672423236468,47.75255404169712
410968,2,-57.76104394818637,48.736748266978466
410979,2,-57.755923551066886,47.76117786842467
411006,2,-57.74298781097556,49.17332949506056
411055,2,-57.70445008528684,49.695340506662404
411070,2,-57.69906019358213,49.05987227467625
411084,2,-57.69070586143981,48.97363400740078
411097,2,-57.68100405637132,49.2428590980514
411131,2,-57.66186994081957,47.727221550684945
411156,2,-57.63977138483024,49.28328328583678
411161,2,-57.64084936317117,48.43518382609954
411170,2,-57.63411199854028,48.13847028775486
411173,2,-57.64138835234165,47.63774934838664
411247,2,-57.5974607349482,48.61412823069615
411253,2,-57.594496294510606,49.530409820498065
411268,2,-57.58668095153877,49.899886896856415
411281,2,-57.57131976018033,48.22497804961557
411292,2,-57.57131976018033,47.68922281416669
411319,2,-57.554880590480934,48.20153202070006
411353,2,-57.530356583224474,47.73449790448632
411386,2,-57.50259864094518,48.22686451171222
411453,2,-57.47160676364307,49.38676920656735
411465,2,-57.46325243150075,49.373024982720324
411494,2,-57.45004719682419,48.556186894870436
411498,2,-57.450586185994666,48.50309646157898
411523,2,-57.43091308127245,48.20799989074571
411526,2,-57.4327995433691,49.8621576549234
411588,2,-57.392375355583724,47.721292669809756
411593,2,-57.386176980123295,47.69137877084857
411665,2,-57.33227806307612,49.79397552485873
411729,2,-57.27514521100612,49.34472805127056
411756,2,-57.25062120374966,48.167575702960335
411770,2,-57.23687697990263,48.71060729221058
411786,2,-57.222863261470366,48.300436533481616
411794,2,-57.221246293958956,47.69973310299089
411798,2,-57.21801235893612,49.42153400806278
411801,2,-57.21612589683947,48.14898057657906
411808,2,-57.21100549971999,47.7681847276408
411879,2,-57.16465243105942,49.757593755851886
411892,2,-57.158184561013755,48.90868581235894
411894,2,-57.158723550184234,47.81777173132419
411916,2,-57.14417084258149,48.08052895192915
411920,2,-57.13985892921772,47.755787976719944
411928,2,-57.135277521268705,49.74142408073774
411930,2,-57.13285207000159,48.3882917682685
411933,2,-57.131774091660645,48.698749530460205
411952,2,-57.12018582449551,49.31158021728655
411956,2,-57.11829936239886,48.64053870004926
412004,2,-57.09539232265381,49.52286397211146
412011,2,-57.09161939846051,48.43922624487808
412016,2,-57.088385463437675,49.08224032525084
412018,2,-57.08892445260814,49.65599429721797
412025,2,-57.088654958022914,49.904468304805434
412074,2,-57.05335116735701,48.94425909761007
412125,2,-57.0193948496173,47.756596460475656
412194,2,-56.98058762934333,49.420186535136594
412210,2,-56.97331127554196,47.692187254604285
412235,2,-56.95040423579691,49.82038599421185
412239,2,-56.951212719552615,48.752917942092616
412243,2,-56.95094322496739,49.344458556685325
412257,2,-56.94474484950696,49.34903996463433
412268,2,-56.93692950653512,47.640713788824236
412278,2,-56.92830567980758,47.764411803447494
412300,2,-56.921298820591446,47.69137877084857
412330,2,-56.91698690722767,47.680059998268675
412336,2,-56.90728510215918,49.91390061528868
412345,2,-56.909710553426294,47.88730133431504
